Income_Segment,Education,Has_Children,Enrollment_Year,Product,Sales
Medium,Master,Has Children,2013,Fruits,3
Medium,Master,Has Children,2014,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,5
Medium,PhD,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2014,Fruits,5
Low,Graduation,Has Children,2013,Fruits,3
Medium,PhD,Has Children,2014,Fruits,0
High,Graduation,Has Children,2014,Fruits,0
Medium,Master,Has Children,2014,Fruits,1
High,Graduation,No Children,2013,Fruits,15
Low,Graduation,Has Children,2013,Fruits,4
Medium,Graduation,Has Children,2013,Fruits,11
Low,Basic,Has Children,2014,Fruits,6
Medium,PhD,Has Children,2013,Fruits,1
High,Graduation,Has Children,2014,Fruits,106
High,Master,No Children,2014,Fruits,51
Low,PhD,Has Children,2012,Fruits,9
Low,Graduation,No Children,2014,Fruits,1
Low,Basic,Has Children,2012,Fruits,17
Medium,Graduation,Has Children,2013,Fruits,0
Low,PhD,Has Children,2014,Fruits,0
High,Graduation,Has Children,2014,Fruits,19
High,PhD,No Children,2013,Fruits,29
High,Graduation,Has Children,2013,Fruits,28
High,PhD,Has Children,2013,Fruits,59
High,Graduation,Has Children,2013,Fruits,27
High,Graduation,Has Children,2013,Fruits,23
Medium,PhD,Has Children,2012,Fruits,0
High,Diploma,Has Children,2012,Fruits,15
High,Graduation,Has Children,2014,Fruits,81
Medium,Graduation,Has Children,2014,Fruits,0
High,Graduation,No Children,2013,Fruits,63
Medium,PhD,Has Children,2014,Fruits,0
High,PhD,No Children,2013,Fruits,17
High,Master,No Children,2013,Fruits,51
Medium,Graduation,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2014,Fruits,0
High,Graduation,No Children,2013,Fruits,161
Medium,PhD,Has Children,2012,Fruits,6
Low,Graduation,Has Children,2013,Fruits,4
Medium,PhD,Has Children,2013,Fruits,1
High,Diploma,No Children,2014,Fruits,26
Medium,Graduation,No Children,2014,Fruits,38
High,Master,Has Children,2013,Fruits,15
Medium,Graduation,Has Children,2012,Fruits,17
Medium,Master,Has Children,2013,Fruits,5
Low,Master,Has Children,2012,Fruits,6
High,Graduation,Has Children,2013,Fruits,12
Medium,Master,Has Children,2013,Fruits,2
Medium,Graduation,Has Children,2013,Fruits,0
High,Graduation,No Children,2012,Fruits,21
Medium,Graduation,Has Children,2013,Fruits,6
High,Graduation,No Children,2012,Fruits,185
Medium,Diploma,No Children,2012,Fruits,54
Medium,PhD,Has Children,2012,Fruits,4
Medium,Master,No Children,2013,Fruits,61
Low,Basic,No Children,2012,Fruits,23
Medium,Graduation,Has Children,2013,Fruits,2
Medium,PhD,Has Children,2012,Fruits,0
Medium,Diploma,Has Children,2013,Fruits,2
High,Master,No Children,2013,Fruits,147
Medium,Graduation,No Children,2012,Fruits,112
Low,Graduation,No Children,2013,Fruits,2
Low,Graduation,Has Children,2013,Fruits,1
Medium,Diploma,Has Children,2014,Fruits,5
Medium,PhD,Has Children,2013,Fruits,0
Medium,PhD,Has Children,2014,Fruits,0
High,Master,Has Children,2014,Fruits,1
Medium,PhD,Has Children,2013,Fruits,2
Medium,Graduation,Has Children,2013,Fruits,7
High,Graduation,No Children,2014,Fruits,79
Low,Graduation,Has Children,2012,Fruits,5
High,Graduation,No Children,2013,Fruits,24
Low,Diploma,No Children,2014,Fruits,6
Medium,Graduation,Has Children,2013,Fruits,5
High,Graduation,No Children,2012,Fruits,72
High,Graduation,Has Children,2013,Fruits,7
Medium,Graduation,Has Children,2013,Fruits,6
High,PhD,No Children,2014,Fruits,29
High,Graduation,No Children,2014,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,51
High,PhD,Has Children,2014,Fruits,32
High,Master,No Children,2012,Fruits,14
Medium,Master,Has Children,2013,Fruits,5
High,Diploma,Has Children,2013,Fruits,162
Medium,Diploma,Has Children,2014,Fruits,40
Low,PhD,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,45
Medium,Diploma,Has Children,2014,Fruits,2
Medium,Graduation,Has Children,2013,Fruits,4
Medium,Graduation,Has Children,2014,Fruits,2
High,Master,No Children,2013,Fruits,86
Medium,Master,Has Children,2013,Fruits,6
High,Graduation,Has Children,2014,Fruits,48
Medium,Graduation,Has Children,2012,Fruits,8
Low,Basic,Has Children,2014,Fruits,10
High,Master,Has Children,2013,Fruits,0
Low,Graduation,No Children,2014,Fruits,7
Medium,PhD,Has Children,2013,Fruits,4
Low,Master,No Children,2013,Fruits,11
High,PhD,No Children,2013,Fruits,53
Low,Graduation,Has Children,2014,Fruits,5
Medium,Graduation,Has Children,2012,Fruits,57
High,Graduation,Has Children,2013,Fruits,36
High,Graduation,No Children,2013,Fruits,70
High,Master,Has Children,2012,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,33
High,Graduation,No Children,2013,Fruits,108
Medium,Master,No Children,2014,Fruits,2
Medium,Graduation,Has Children,2013,Fruits,6
Medium,Graduation,Has Children,2012,Fruits,13
Medium,Graduation,Has Children,2014,Fruits,0
Medium,Master,Has Children,2012,Fruits,6
High,Master,Has Children,2012,Fruits,0
Low,Graduation,No Children,2013,Fruits,0
Low,Basic,Has Children,2013,Fruits,4
Medium,Graduation,Has Children,2013,Fruits,10
Low,Diploma,Has Children,2013,Fruits,7
Medium,PhD,No Children,2013,Fruits,46
High,Graduation,Has Children,2013,Fruits,7
High,PhD,No Children,2013,Fruits,76
High,PhD,No Children,2013,Fruits,73
High,Graduation,No Children,2013,Fruits,0
Low,Graduation,Has Children,2012,Fruits,2
High,Graduation,Has Children,2014,Fruits,12
High,Graduation,No Children,2012,Fruits,25
High,Graduation,Has Children,2013,Fruits,161
Medium,Graduation,Has Children,2013,Fruits,15
High,PhD,No Children,2014,Fruits,17
High,Graduation,No Children,2013,Fruits,129
Medium,Master,Has Children,2013,Fruits,1
Medium,Graduation,Has Children,2012,Fruits,24
Low,Basic,Has Children,2013,Fruits,4
Medium,Graduation,Has Children,2013,Fruits,15
Medium,Diploma,No Children,2012,Fruits,21
Medium,Diploma,Has Children,2013,Fruits,7
High,Master,Has Children,2012,Fruits,10
Medium,Graduation,Has Children,2013,Fruits,7
Medium,Graduation,Has Children,2013,Fruits,4
Medium,Master,Has Children,2013,Fruits,19
High,Graduation,Has Children,2014,Fruits,11
Medium,Graduation,Has Children,2014,Fruits,6
Medium,Diploma,Has Children,2013,Fruits,4
Medium,Master,Has Children,2013,Fruits,0
Medium,PhD,Has Children,2012,Fruits,0
Medium,PhD,Has Children,2013,Fruits,8
Medium,Graduation,Has Children,2012,Fruits,10
Medium,Graduation,Has Children,2013,Fruits,0
Low,Graduation,Has Children,2013,Fruits,13
Medium,Master,Has Children,2013,Fruits,0
Medium,Master,Has Children,2013,Fruits,5
Medium,Master,Has Children,2014,Fruits,14
Medium,Diploma,Has Children,2013,Fruits,10
Medium,Graduation,Has Children,2012,Fruits,4
Medium,Diploma,Has Children,2014,Fruits,1
Low,Graduation,Has Children,2012,Fruits,3
High,Graduation,No Children,2014,Fruits,24
Medium,PhD,Has Children,2014,Fruits,1
Low,Diploma,Has Children,2013,Fruits,1
Medium,Graduation,Has Children,2012,Fruits,1
High,Graduation,No Children,2014,Fruits,93
Medium,Master,Has Children,2013,Fruits,0
Low,Graduation,Has Children,2013,Fruits,14
Medium,PhD,Has Children,2014,Fruits,1
Medium,Diploma,Has Children,2012,Fruits,4
Low,PhD,Has Children,2014,Fruits,0
High,Master,Has Children,2013,Fruits,7
Medium,Graduation,Has Children,2014,Fruits,0
Low,Graduation,Has Children,2014,Fruits,3
High,Master,Has Children,2013,Fruits,15
Medium,PhD,Has Children,2012,Fruits,64
High,Graduation,Has Children,2012,Fruits,2
High,Graduation,Has Children,2014,Fruits,14
Medium,Graduation,Has Children,2014,Fruits,1
Medium,Graduation,Has Children,2012,Fruits,5
Medium,Master,Has Children,2012,Fruits,7
Medium,PhD,Has Children,2012,Fruits,3
Medium,Master,Has Children,2013,Fruits,12
High,Master,Has Children,2013,Fruits,35
Medium,Graduation,Has Children,2012,Fruits,13
Medium,PhD,Has Children,2012,Fruits,2
High,PhD,Has Children,2012,Fruits,7
High,Graduation,Has Children,2013,Fruits,16
Medium,Master,Has Children,2014,Fruits,1
High,Graduation,No Children,2014,Fruits,93
Medium,Graduation,Has Children,2013,Fruits,12
Medium,Graduation,Has Children,2013,Fruits,56
Low,Basic,No Children,2013,Fruits,23
Medium,Graduation,No Children,2014,Fruits,28
Medium,Graduation,Has Children,2014,Fruits,4
Low,Graduation,Has Children,2014,Fruits,3
Medium,PhD,Has Children,2014,Fruits,0
High,Diploma,No Children,2013,Fruits,172
High,Graduation,Has Children,2012,Fruits,12
Medium,PhD,Has Children,2014,Fruits,1
Low,Graduation,No Children,2012,Fruits,1
Low,Graduation,Has Children,2013,Fruits,18
Medium,PhD,Has Children,2013,Fruits,0
Medium,PhD,Has Children,2013,Fruits,1
Medium,Diploma,Has Children,2014,Fruits,10
Medium,Graduation,No Children,2013,Fruits,87
Low,Master,Has Children,2013,Fruits,0
Medium,Diploma,Has Children,2014,Fruits,3
High,Graduation,No Children,2013,Fruits,21
Medium,Graduation,Has Children,2013,Fruits,3
High,Graduation,Has Children,2013,Fruits,26
Medium,Diploma,Has Children,2013,Fruits,2
High,Graduation,Has Children,2012,Fruits,2
Low,Diploma,No Children,2013,Fruits,4
Medium,Graduation,No Children,2014,Fruits,36
Medium,Graduation,Has Children,2013,Fruits,12
Medium,Graduation,Has Children,2013,Fruits,2
Medium,Master,Has Children,2013,Fruits,1
Low,Graduation,Has Children,2012,Fruits,0
High,Master,No Children,2012,Fruits,19
High,Graduation,No Children,2013,Fruits,168
Medium,Graduation,No Children,2013,Fruits,27
High,Diploma,No Children,2012,Fruits,35
Medium,Graduation,Has Children,2012,Fruits,8
High,PhD,No Children,2013,Fruits,54
High,Diploma,Has Children,2014,Fruits,27
Medium,Graduation,Has Children,2013,Fruits,10
High,Graduation,No Children,2014,Fruits,151
High,Graduation,No Children,2013,Fruits,102
Medium,PhD,Has Children,2013,Fruits,0
Medium,PhD,No Children,2012,Fruits,13
High,Graduation,No Children,2014,Fruits,81
Medium,Graduation,Has Children,2012,Fruits,3
Low,Graduation,Has Children,2013,Fruits,8
High,Graduation,No Children,2014,Fruits,68
Medium,PhD,No Children,2012,Fruits,64
High,Master,Has Children,2014,Fruits,5
Medium,Graduation,Has Children,2013,Fruits,59
Medium,PhD,Has Children,2014,Fruits,0
Low,Graduation,Has Children,2014,Fruits,13
Low,Master,Has Children,2013,Fruits,0
Medium,Master,Has Children,2013,Fruits,23
Medium,Graduation,Has Children,2013,Fruits,10
High,Graduation,No Children,2013,Fruits,31
Medium,PhD,Has Children,2014,Fruits,0
High,Graduation,Has Children,2013,Fruits,84
Low,Diploma,Has Children,2013,Fruits,3
Medium,Graduation,Has Children,2013,Fruits,7
Medium,Graduation,Has Children,2013,Fruits,0
High,PhD,Has Children,2012,Fruits,24
High,Graduation,Has Children,2012,Fruits,35
Medium,Graduation,Has Children,2013,Fruits,8
High,Master,No Children,2012,Fruits,14
Medium,PhD,Has Children,2013,Fruits,0
Medium,Master,No Children,2013,Fruits,1
Medium,PhD,Has Children,2014,Fruits,0
High,Graduation,Has Children,2013,Fruits,199
High,Graduation,Has Children,2012,Fruits,28
Low,Diploma,Has Children,2013,Fruits,3
Low,Graduation,Has Children,2013,Fruits,4
High,Diploma,Has Children,2012,Fruits,97
High,Master,Has Children,2013,Fruits,25
High,Master,No Children,2014,Fruits,127
High,PhD,Has Children,2014,Fruits,0
High,Graduation,Has Children,2013,Fruits,89
Medium,Master,Has Children,2013,Fruits,17
High,PhD,Has Children,2013,Fruits,42
Medium,PhD,Has Children,2013,Fruits,0
High,Graduation,No Children,2013,Fruits,172
Medium,Graduation,Has Children,2013,Fruits,35
Medium,Graduation,Has Children,2013,Fruits,3
High,Graduation,No Children,2014,Fruits,161
Medium,Graduation,Has Children,2013,Fruits,0
Medium,PhD,Has Children,2012,Fruits,10
High,Graduation,Has Children,2012,Fruits,56
High,Graduation,No Children,2013,Fruits,12
Medium,Master,Has Children,2013,Fruits,9
Medium,Diploma,Has Children,2014,Fruits,3
Medium,Graduation,Has Children,2012,Fruits,15
Medium,Master,Has Children,2012,Fruits,6
Medium,PhD,No Children,2012,Fruits,26
High,Master,No Children,2014,Fruits,8
Medium,Master,Has Children,2013,Fruits,5
Medium,Diploma,Has Children,2012,Fruits,104
High,PhD,No Children,2013,Fruits,197
Medium,Graduation,Has Children,2013,Fruits,16
High,Graduation,No Children,2014,Fruits,137
Medium,Master,Has Children,2012,Fruits,0
High,Graduation,Has Children,2012,Fruits,76
High,Graduation,No Children,2014,Fruits,42
Low,Diploma,No Children,2013,Fruits,12
Medium,Graduation,Has Children,2014,Fruits,51
Medium,Graduation,Has Children,2012,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,8
Medium,Master,Has Children,2013,Fruits,1
Low,Graduation,Has Children,2012,Fruits,17
High,PhD,No Children,2013,Fruits,111
High,Graduation,No Children,2013,Fruits,98
Medium,Graduation,Has Children,2014,Fruits,6
Medium,PhD,Has Children,2014,Fruits,3
Low,Graduation,Has Children,2013,Fruits,1
Medium,Graduation,Has Children,2012,Fruits,0
High,PhD,No Children,2014,Fruits,194
Low,Graduation,Has Children,2012,Fruits,8
High,PhD,No Children,2014,Fruits,48
Low,Graduation,Has Children,2013,Fruits,11
Medium,Diploma,Has Children,2012,Fruits,43
Medium,Diploma,Has Children,2013,Fruits,7
High,PhD,Has Children,2014,Fruits,62
Medium,Master,Has Children,2012,Fruits,0
Low,Diploma,Has Children,2012,Fruits,36
Low,Diploma,Has Children,2012,Fruits,20
Low,Graduation,Has Children,2013,Fruits,0
High,PhD,No Children,2013,Fruits,82
High,PhD,Has Children,2012,Fruits,0
Medium,Master,Has Children,2013,Fruits,40
Medium,Graduation,Has Children,2014,Fruits,4
High,Master,Has Children,2013,Fruits,72
High,Graduation,No Children,2012,Fruits,38
Medium,PhD,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2012,Fruits,0
Medium,Master,Has Children,2013,Fruits,4
Medium,Diploma,No Children,2013,Fruits,12
Medium,Graduation,No Children,2012,Fruits,4
High,Graduation,Has Children,2013,Fruits,35
Medium,Diploma,Has Children,2013,Fruits,1
Medium,Master,Has Children,2013,Fruits,1
High,Diploma,No Children,2014,Fruits,26
High,Graduation,Has Children,2012,Fruits,184
High,Graduation,No Children,2014,Fruits,30
High,Graduation,Has Children,2012,Fruits,80
Medium,Master,Has Children,2013,Fruits,1
Medium,Master,Has Children,2012,Fruits,2
Medium,Graduation,Has Children,2013,Fruits,1
Low,Graduation,Has Children,2013,Fruits,5
High,PhD,Has Children,2013,Fruits,88
Medium,Graduation,Has Children,2013,Fruits,12
Medium,Master,Has Children,2013,Fruits,0
Low,Graduation,Has Children,2012,Fruits,3
High,Graduation,Has Children,2014,Fruits,99
Medium,Graduation,Has Children,2014,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,11
High,Master,Has Children,2012,Fruits,63
High,Graduation,Has Children,2014,Fruits,15
Medium,PhD,Has Children,2012,Fruits,0
High,PhD,Has Children,2013,Fruits,9
High,PhD,No Children,2012,Fruits,22
Medium,Graduation,Has Children,2012,Fruits,1
High,Master,No Children,2014,Fruits,120
Low,Master,Has Children,2013,Fruits,4
Medium,Graduation,Has Children,2012,Fruits,15
Medium,PhD,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2014,Fruits,3
High,PhD,No Children,2014,Fruits,0
Medium,Graduation,No Children,2013,Fruits,4
High,Master,Has Children,2013,Fruits,43
Medium,Graduation,Has Children,2014,Fruits,1
High,Master,No Children,2013,Fruits,32
High,Graduation,No Children,2013,Fruits,47
Medium,Master,Has Children,2014,Fruits,8
High,Graduation,No Children,2014,Fruits,23
Medium,PhD,Has Children,2014,Fruits,0
Medium,Master,Has Children,2012,Fruits,12
High,Graduation,No Children,2014,Fruits,58
Medium,Graduation,Has Children,2013,Fruits,6
High,Graduation,No Children,2013,Fruits,160
Medium,PhD,Has Children,2012,Fruits,1
High,Graduation,No Children,2013,Fruits,66
Low,Basic,Has Children,2012,Fruits,7
Medium,Master,Has Children,2013,Fruits,5
Medium,PhD,Has Children,2014,Fruits,0
Medium,PhD,Has Children,2012,Fruits,3
Low,Master,Has Children,2014,Fruits,2
Medium,Graduation,Has Children,2013,Fruits,8
High,Graduation,Has Children,2012,Fruits,107
Medium,PhD,Has Children,2014,Fruits,0
Medium,Master,Has Children,2013,Fruits,0
High,Master,No Children,2012,Fruits,108
High,Master,No Children,2013,Fruits,12
Medium,Graduation,Has Children,2013,Fruits,1
Low,Graduation,Has Children,2014,Fruits,1
Medium,PhD,Has Children,2013,Fruits,0
High,Graduation,Has Children,2013,Fruits,31
Medium,Diploma,Has Children,2013,Fruits,32
High,Master,Has Children,2014,Fruits,3
High,PhD,Has Children,2014,Fruits,19
High,Graduation,No Children,2012,Fruits,19
Low,Diploma,No Children,2012,Fruits,6
High,Graduation,No Children,2013,Fruits,185
Medium,Graduation,Has Children,2013,Fruits,2
Medium,Graduation,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,115
Low,Graduation,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2014,Fruits,11
High,Graduation,Has Children,2014,Fruits,12
Medium,Master,Has Children,2012,Fruits,0
Medium,PhD,Has Children,2013,Fruits,1
Low,Graduation,Has Children,2013,Fruits,16
High,Diploma,No Children,2012,Fruits,96
Medium,Graduation,Has Children,2013,Fruits,8
Medium,Graduation,Has Children,2013,Fruits,18
Medium,PhD,Has Children,2014,Fruits,2
Medium,PhD,Has Children,2012,Fruits,71
Medium,PhD,No Children,2013,Fruits,133
Low,Graduation,Has Children,2014,Fruits,0
Medium,Diploma,Has Children,2013,Fruits,12
High,PhD,Has Children,2013,Fruits,112
Medium,PhD,Has Children,2013,Fruits,2
Medium,PhD,Has Children,2014,Fruits,0
Low,Graduation,Has Children,2013,Fruits,1
Medium,PhD,Has Children,2013,Fruits,15
Medium,PhD,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,5
High,Graduation,No Children,2013,Fruits,77
Medium,Graduation,Has Children,2014,Fruits,1
Medium,Master,Has Children,2013,Fruits,1
Medium,Master,Has Children,2014,Fruits,0
High,PhD,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2012,Fruits,48
Low,Basic,Has Children,2013,Fruits,3
High,Diploma,Has Children,2014,Fruits,21
Medium,Master,No Children,2013,Fruits,1
Medium,Master,Has Children,2013,Fruits,7
Medium,Graduation,No Children,2014,Fruits,35
Medium,Graduation,No Children,2013,Fruits,140
Medium,PhD,Has Children,2014,Fruits,4
Low,Graduation,Has Children,2014,Fruits,1
High,Graduation,No Children,2012,Fruits,37
Medium,Graduation,Has Children,2012,Fruits,4
Low,PhD,Has Children,2013,Fruits,0
Medium,Master,Has Children,2014,Fruits,5
Medium,Master,Has Children,2013,Fruits,9
High,PhD,Has Children,2014,Fruits,30
Medium,Diploma,Has Children,2013,Fruits,16
High,Graduation,No Children,2014,Fruits,34
Medium,PhD,Has Children,2013,Fruits,13
Medium,Graduation,Has Children,2013,Fruits,23
High,Graduation,Has Children,2014,Fruits,24
Medium,Graduation,Has Children,2014,Fruits,5
Medium,PhD,No Children,2013,Fruits,2
Medium,Diploma,Has Children,2013,Fruits,8
High,PhD,Has Children,2013,Fruits,30
Medium,PhD,Has Children,2013,Fruits,5
High,PhD,Has Children,2013,Fruits,107
High,PhD,Has Children,2013,Fruits,59
Medium,PhD,No Children,2013,Fruits,2
High,Graduation,No Children,2013,Fruits,107
High,Master,No Children,2013,Fruits,102
High,Diploma,No Children,2013,Fruits,22
High,Graduation,Has Children,2012,Fruits,53
Low,Diploma,No Children,2012,Fruits,8
Low,Graduation,Has Children,2013,Fruits,15
Low,Basic,Has Children,2013,Fruits,1
Medium,PhD,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2014,Fruits,2
High,Graduation,No Children,2013,Fruits,117
Medium,Graduation,Has Children,2014,Fruits,5
Low,PhD,Has Children,2012,Fruits,0
Low,PhD,Has Children,2014,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,7
Medium,Graduation,Has Children,2014,Fruits,0
High,Master,No Children,2012,Fruits,50
Medium,Graduation,Has Children,2013,Fruits,7
Medium,Graduation,Has Children,2013,Fruits,26
High,Graduation,No Children,2013,Fruits,70
Medium,Graduation,Has Children,2013,Fruits,5
High,Master,No Children,2013,Fruits,73
Low,PhD,Has Children,2013,Fruits,0
Low,Diploma,Has Children,2012,Fruits,6
Low,Graduation,No Children,2012,Fruits,4
High,Graduation,Has Children,2013,Fruits,131
Medium,Diploma,Has Children,2012,Fruits,1
High,PhD,No Children,2013,Fruits,21
Medium,PhD,Has Children,2012,Fruits,0
High,Master,Has Children,2014,Fruits,91
High,Graduation,Has Children,2012,Fruits,126
Medium,Master,Has Children,2014,Fruits,0
Low,Graduation,Has Children,2013,Fruits,8
Medium,PhD,Has Children,2014,Fruits,0
Low,Basic,Has Children,2012,Fruits,17
Medium,PhD,Has Children,2013,Fruits,6
Medium,Master,Has Children,2012,Fruits,12
Medium,Graduation,Has Children,2012,Fruits,10
High,Graduation,Has Children,2014,Fruits,0
Medium,PhD,Has Children,2014,Fruits,12
High,Graduation,No Children,2014,Fruits,61
High,Master,Has Children,2013,Fruits,44
Medium,Graduation,Has Children,2013,Fruits,2
High,Graduation,No Children,2012,Fruits,51
Low,Basic,Has Children,2014,Fruits,10
Medium,Graduation,Has Children,2012,Fruits,12
High,Graduation,Has Children,2013,Fruits,20
Low,Graduation,Has Children,2014,Fruits,3
Medium,Graduation,Has Children,2013,Fruits,5
Medium,PhD,Has Children,2012,Fruits,61
Low,Graduation,Has Children,2013,Fruits,2
High,PhD,No Children,2013,Fruits,44
High,Graduation,No Children,2013,Fruits,129
High,PhD,No Children,2014,Fruits,31
Medium,PhD,Has Children,2014,Fruits,3
Low,Master,Has Children,2014,Fruits,7
Medium,Graduation,Has Children,2012,Fruits,2
Low,Basic,Has Children,2013,Fruits,7
High,Master,Has Children,2013,Fruits,72
High,Graduation,Has Children,2013,Fruits,10
Medium,PhD,Has Children,2014,Fruits,0
Low,Graduation,No Children,2012,Fruits,1
Medium,Graduation,Has Children,2013,Fruits,2
High,Graduation,No Children,2014,Fruits,147
High,Diploma,Has Children,2013,Fruits,97
High,Graduation,Has Children,2013,Fruits,0
High,Graduation,Has Children,2014,Fruits,16
High,Graduation,No Children,2013,Fruits,21
Medium,Graduation,Has Children,2014,Fruits,13
Medium,PhD,Has Children,2013,Fruits,1
Medium,Graduation,Has Children,2014,Fruits,1
Medium,Graduation,Has Children,2013,Fruits,0
Medium,PhD,No Children,2014,Fruits,19
High,Graduation,No Children,2013,Fruits,23
Medium,PhD,Has Children,2013,Fruits,7
High,Graduation,No Children,2012,Fruits,132
Low,Basic,No Children,2012,Fruits,5
High,Master,No Children,2013,Fruits,26
High,Graduation,Has Children,2013,Fruits,21
High,PhD,No Children,2013,Fruits,86
High,PhD,Has Children,2012,Fruits,21
Medium,Graduation,Has Children,2012,Fruits,0
Medium,Diploma,Has Children,2014,Fruits,4
Medium,PhD,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2012,Fruits,0
Low,Basic,Has Children,2013,Fruits,9
Medium,Graduation,Has Children,2013,Fruits,2
Medium,Master,Has Children,2013,Fruits,1
Medium,PhD,Has Children,2014,Fruits,0
High,Graduation,Has Children,2013,Fruits,120
High,Diploma,Has Children,2013,Fruits,75
Low,Diploma,Has Children,2013,Fruits,3
Medium,Graduation,Has Children,2013,Fruits,3
High,Graduation,Has Children,2013,Fruits,20
Low,Diploma,Has Children,2013,Fruits,1
High,Graduation,Has Children,2013,Fruits,71
Medium,PhD,Has Children,2014,Fruits,1
High,Graduation,No Children,2013,Fruits,108
Low,Basic,No Children,2014,Fruits,9
Medium,Master,Has Children,2013,Fruits,1
Low,PhD,Has Children,2012,Fruits,3
Medium,PhD,No Children,2013,Fruits,9
High,Graduation,No Children,2012,Fruits,44
High,PhD,No Children,2013,Fruits,53
Medium,Graduation,Has Children,2014,Fruits,0
Medium,Graduation,Has Children,2012,Fruits,2
Low,Graduation,Has Children,2012,Fruits,4
Low,PhD,No Children,2012,Fruits,0
Medium,PhD,Has Children,2013,Fruits,0
High,Diploma,No Children,2013,Fruits,22
Low,Basic,Has Children,2012,Fruits,4
Medium,PhD,Has Children,2014,Fruits,1
High,Graduation,No Children,2012,Fruits,138
High,Graduation,Has Children,2013,Fruits,17
Medium,Graduation,Has Children,2013,Fruits,33
Medium,Graduation,Has Children,2012,Fruits,4
Medium,Graduation,Has Children,2012,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,0
High,Diploma,Has Children,2012,Fruits,21
High,Graduation,Has Children,2013,Fruits,115
Medium,Graduation,Has Children,2013,Fruits,6
Medium,PhD,Has Children,2014,Fruits,0
High,Diploma,No Children,2013,Fruits,22
Medium,Graduation,Has Children,2014,Fruits,6
Medium,Graduation,Has Children,2013,Fruits,1
Low,Master,Has Children,2013,Fruits,0
High,Graduation,Has Children,2013,Fruits,48
Medium,Master,Has Children,2014,Fruits,3
High,Graduation,Has Children,2014,Fruits,26
High,Diploma,Has Children,2014,Fruits,21
High,Graduation,Has Children,2014,Fruits,38
High,Graduation,Has Children,2012,Fruits,0
Medium,Master,Has Children,2013,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,7
Medium,Graduation,Has Children,2014,Fruits,0
Medium,Graduation,Has Children,2013,Fruits,16
Low,PhD,Has Children,2013,Fruits,4
Low,Graduation,Has Children,2013,Fruits,4
High,Graduation,No Children,2014,Fruits,51
High,PhD,No Children,2012,Fruits,34
Medium,Graduation,Has Children,2012,Fruits,2
Medium,PhD,Has Children,2012,Fruits,30
High,Master,No Children,2014,Fruits,8
High,Graduation,No Children,2013,Fruits,169
High,Graduation,Has Children,2013,Fruits,69
Low,PhD,Has Children,2013,Fruits,0
Medium,Diploma,Has Children,2013,Fruits,35
High,Graduation,No Children,2013,Fruits,27
Medium,Graduation,Has Children,2013,Fruits,9
Medium,PhD,Has Children,2014,Fruits,0
High,Graduation,Has Children,2014,Fruits,17
Medium,Master,Has Children,2013,Fruits,0
Medium,Master,Has Children,2013,Fruits,1
High,Graduation,Has Children,2013,Fruits,84
Medium,Diploma,No Children,2012,Fruits,17
Low,Graduation,Has Children,2013,Fruits,0
Medium,PhD,Has Children,2013,Fruits,6
High,Graduation,No Children,2013,Fruits,27
High,Master,No Children,2013,Fruits,92
Low,Master,Has Children,2013,Fruits,14
Low,Graduation,Has Children,2013,Fruits,4
Medium,Graduation,Has Children,2013,Fruits,0
Medium,PhD,Has Children,2013,Fruits,17
Medium,Graduation,Has Children,2014,Fruits,3
Medium,Graduation,Has Children,2013,Fruits,6
Medium,Graduation,Has Children,2012,Fruits,5
High,PhD,No Children,2013,Fruits,19
Medium,Graduation,Has Children,2013,Fruits,2
High,Diploma,Has Children,2012,Fruits,15
Medium,PhD,Has Children,2012,Fruits,14
Medium,PhD,Has Children,2013,Fruits,4
High,Master,No Children,2013,Fruits,48
Low,Master,Has Children,2014,Fruits,3
High,Master,No Children,2013,Fruits,66
High,Master,Has Children,2013,Fruits,7
High,PhD,No Children,2012,Fruits,21
Low,PhD,Has Children,2014,Fruits,0
Medium,Graduation,No Children,2013,Fruits,6
Medium,PhD,Has Children,2014,Fruits,0
Low,Graduation,Has Children,2014,Fruits,8
High,Diploma,No Children,2012,Fruits,27
Low,Graduation,Has Children,2013,Fruits,1
High,PhD,No Children,2012,Fruits,53
High,Graduation,No Children,2013,Fruits,169
High,PhD,No Children,2013,Fruits,50
High,Master,Has Children,2013,Fruits,0
